						20201050	Environmental & Facilities Services	Companies providing environmental and facilities maintenance services. Includes waste management, facilities management and pollution control services. Excludes large-scale water treatment systems classified in the Water Utilities Sub-Industry.
						20201060	Office Services & Supplies	Providers of office services and manufacturers of office supplies and equipment not classified elsewhere.
						20201070	Diversified Support Services	Companies primarily providing labor oriented support services to businesses and governments. Includes commercial cleaning services, dining & catering services, equipment repair services, industrial maintenance services, industrial auctioneers, storage & warehousing, transaction services, uniform rental services, and other business support services.
						20201080	Security & Alarm Services	Companies providing security and protection services to business and governments. Includes companies providing services such as correctional facilities, security & alarm services, armored transportation & guarding. Excludes companies providing security software classified under the Systems Software Sub-Industry and home security services classified under the Specialized Consumer Services Sub-Industry. Also excludes companies manufacturing security system equipment classified under the Electronic Equipment & Instruments Sub-Industry.
				202020	Professional Services	20202010	Human Resource & Employment Services	Companies providing business support services relating to human capital management. Includes employment agencies, employee training, payroll & benefit support services, retirement support services and temporary agencies.
						20202020	Research & Consulting Services	Companies primarily providing research and consulting services to businesses and governments not classified elsewhere. Includes companies involved in management consulting services, architectural design, business information or scientific research, marketing, and testing & certification services. Excludes companies providing information technology consulting services classified in the IT Consulting & Other Services Sub-Industry.
		2030	Transportation	203010	Air Freight & Logistics	20301010	Air Freight & Logistics	Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the Airlines, Marine or Trucking Sub-Industries.
				203020	Airlines	20302010	Airlines	Companies providing primarily passenger air transportation.
				203030	Marine	20303010	Marine	Companies providing goods or passenger maritime transportation. Excludes cruise-ships classified in the Hotels, Resorts & Cruise Lines Sub-Industry.
				203040	Road & Rail	20304010	Railroads	Companies providing primarily goods and passenger rail transportation.
						20304020	Trucking	Companies providing primarily goods and passenger land transportation. Includes vehicle rental and taxi companies.
				203050	Transportation Infrastructure	20305010	Airport Services	Operators of airports and companies providing related services.
						20305020	Highways & Railtracks	Owners and operators of roads, tunnels and railtracks.
						20305030	Marine Ports & Services	Owners and operators of marine ports and related services.
25	Consumer Discretionary	2510	Automobiles & Components	251010	Auto Components	25101010	Auto Parts & Equipment	Manufacturers of parts and accessories for automobiles and motorcycles. Excludes companies classified in the Tires & Rubber Sub-Industry.
						25101020	Tires & Rubber	Manufacturers of tires and rubber.
				251020	Automobiles	25102010	Automobile Manufacturers	Companies that produce mainly passenger automobiles and light trucks. Excludes companies producing mainly motorcycles and three-wheelers classified in the Motorcycle Manufacturers Sub-Industry and heavy duty trucks classified in the Construction Machinery & Heavy Trucks Sub-Industry.
						25102020	Motorcycle Manufacturers	Companies that produce motorcycles, scooters or three-wheelers. Excludes bicycles classified in the Leisure Products Sub-Industry.
		2520	Consumer Durables & Apparel	252010	Household Durables	25201010	Consumer Electronics	Manufacturers of consumer electronics products including TVs, home audio equipment, game consoles, digital cameras, and related products. Excludes personal home computer manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry, and electric household appliances classified in the Household Appliances Sub-Industry.
						25201020	Home Furnishings	Manufacturers of soft home furnishings or furniture, including upholstery, carpets and wall-coverings.
						25201030	Homebuilding	Residential construction companies. Includes manufacturers of prefabricated houses and semi-fixed manufactured homes.
						25201040	Household Appliances	Manufacturers of electric household appliances and related products. Includes manufacturers of power and hand tools, including garden improvement tools. Excludes TVs and other audio and video products classified in the Consumer Electronics Sub-Industry and personal computers classified in the Technology Hardware, Storage & Peripherals Sub-Industry.
						25201050	Housewares & Specialties	Manufacturers of durable household products, including cutlery, cookware, glassware, crystal, silverware, utensils, kitchenware and consumer specialties not classified elsewhere.
				252020	Leisure Products	25202010	Leisure Products	Manufacturers of leisure products and equipment including sports equipment, bicycles and toys.
						25202020	Photographic Products - Discontinued effective 02/28/2014.	Manufacturers of photographic equipment and related products.
				252030	Textiles, Apparel & Luxury Goods	25203010	Apparel, Accessories & Luxury Goods	Manufacturers of apparel, accessories & luxury goods. Includes companies primarily producing designer handbags, wallets, luggage, jewelry and watches. Excludes shoes classified in the Footwear Sub-Industry.
						25203020	Footwear	Manufacturers of footwear. Includes sport and leather shoes.
						25203030	Textiles	Manufacturers of textile and related products not classified in the Apparel, Accessories & Luxury Goods, Footwear or Home Furnishings Sub-Industries.
		2530	Consumer Services	253010	Hotels, Restaurants & Leisure	25301010	Casinos & Gaming	Owners and operators of casinos and gaming facilities. Includes companies providing lottery and betting services.
						25301020	Hotels, Resorts & Cruise Lines	Owners and operators of hotels, resorts and cruise-ships. Includes travel agencies, tour operators and related services not classified elsewhere . Excludes casino-hotels classified in the Casinos & Gaming Sub-Industry.
						25301030	Leisure Facilities	Owners and operators of leisure facilities, including sport and fitness centers, stadiums, golf courses and amusement parks not classified in the Movies & Entertainment Sub-Industry.
						25301040	Restaurants	Owners and operators of restaurants, bars, pubs, fast-food or take-out facilities. Includes companies that provide food catering services.
				253020	Diversified Consumer Services	25302010	Education Services	Companies providing educational services, either on-line or through conventional teaching methods. Includes, private universities, correspondence teaching, providers of educational seminars, educational materials and technical education. Excludes companies providing employee education programs classified in the Human Resources & Employment Services Sub-Industry
						25302020	Specialized Consumer Services	Companies providing consumer services not classified elsewhere. Includes residential services, home security, legal services, personal services, renovation & interior design services, consumer auctions and wedding & funeral services.
		2540	Media	254010	Media	25401010	Advertising	Companies providing advertising, marketing or public relations services.
						25401020	Broadcasting	Owners and operators of television or radio broadcasting systems, including programming. Includes, radio and television broadcasting, radio networks, and radio stations.
						25401025	Cable & Satellite	Providers of cable or satellite television services. Includes cable networks and program distribution.
						25401030	Movies & Entertainment	Companies that engage in producing and selling entertainment products and services, including companies engaged in the production, distribution and screening of movies and television shows, producers and distributors of music, entertainment theaters and sports teams.
						25401040	Publishing	Publishers of newspapers, magazines and books, and providers of information in print or electronic formats.
		2550	Retailing	255010	Distributors	25501010	Distributors	Distributors and wholesalers of general merchandise not classified elsewhere. Includes vehicle distributors.
				255020	Internet & Catalog Retail	25502010	Catalog Retail	Mail order and TV home shopping retailers. Includes companies that provide door-to-door retail.
						25502020	Internet Retail	Companies providing retail services primarily on the internet, not classified elsewhere.
				255030	Multiline Retail	25503010	Department Stores	Owners and operators of department stores.
						25503020	General Merchandise Stores	Owners and operators of stores offering diversified general merchandise. Excludes hypermarkets and large-scale super centers classified in the Hypermarkets & Super Centers Sub-Industry.
				255040	Specialty Retail	25504010	Apparel Retail	Retailers specialized mainly in apparel and accessories.
						25504020	Computer & Electronics Retail	Owners and operators of consumer electronics, computers, video and related products retail stores.
						25504030	Home Improvement Retail	Owners and operators of home and garden improvement retail stores. Includes stores offering building materials and supplies.
						25504040	Specialty Stores	Owners and operators of specialty retail stores not classified elsewhere. Includes jewelry stores, toy stores, office supply stores, health & vision care stores, and book & entertainment stores.
						25504050	Automotive Retail	Owners and operators of stores specializing in automotive retail. Includes auto dealers, gas stations, and retailers of auto accessories, motorcycles & parts, automotive glass, and automotive equipment & parts.
						25504060	Homefurnishing Retail	Owners and operators of furniture and home furnishings retail stores. Includes residential furniture, homefurnishings, housewares, and interior design. Excludes home and garden improvement stores, classified in the Home Improvement Retail Sub-Industry.
30	Consumer Staples	3010	Food & Staples Retailing	301010	Food & Staples Retailing	30101010	Drug Retail	Owners and operators of primarily drug retail stores and pharmacies.
						30101020	Food Distributors	Distributors of food products to other companies and not directly to the consumer.
						30101030	Food Retail	Owners and operators of primarily food retail stores.
						30101040	Hypermarkets & Super Centers	Owners and operators of hypermarkets and super centers selling food and a wide-range of consumer staple products. Excludes Food and Drug Retailers classified in the Food Retail and Drug Retail Sub-Industries, respectively.
		3020	Food, Beverage & Tobacco	302010	Beverages	30201010	Brewers	Producers of beer and malt liquors. Includes breweries not classified in the Restaurants Sub-Industry.
						30201020	Distillers & Vintners	Distillers, vintners and producers of alcoholic beverages not classified in the Brewers Sub-Industry.
						30201030	Soft Drinks	Producers of non-alcoholic beverages including mineral waters. Excludes producers of milk classified in the Packaged Foods Sub-Industry.
				302020	Food Products	30202010	Agricultural Products	Producers of agricultural products. Includes crop growers, owners of plantations and companies that produce and process foods but do not package and market them. Excludes companies classified in the Forest Products Sub-Industry and those that package and market the food products classified in the Packaged Foods Sub-Industry.
						30202020	Meat, Poultry & Fish (discontinued, effective March 28 2002).	Companies that raise livestock or poultry, fishing companies and other producers of meat, poultry or fish products.
						30202030	Packaged Foods & Meats	Producers of packaged foods including dairy products, fruit juices, meats, poultry, fish and pet foods.
				302030	Tobacco	30203010	Tobacco	Manufacturers of cigarettes and other tobacco products.
		3030	Household & Personal Products	303010	Household Products	30301010	Household Products	Producers of non-durable household products, including detergents, soaps, diapers and other tissue and household paper products not classified in the Paper Products Sub-Industry.
				303020	Personal Products	30302010	Personal Products	Manufacturers of personal and beauty care products, including cosmetics and perfumes.
35	Health Care	3510	Health Care Equipment & Services	351010	Health Care Equipment & Supplies	35101010	Health Care Equipment	Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment.
						35101020	Health Care Supplies	Manufacturers of health care supplies and medical products not classified elsewhere. Includes eye care products, hospital supplies, and safety needle & syringe devices.
				351020	Health Care Providers & Services	35102010	Health Care Distributors	Distributors and wholesalers of health care products not classified elsewhere.
						35102015	Health Care Services	Providers of patient health care services not classified elsewhere. Includes dialysis centers, lab testing services, and pharmacy management services. Also includes companies providing business support services to health care providers, such as clerical support services, collection agency services, staffing services and outsourced sales & marketing services
						35102020	Health Care Facilities	Owners and operators of health care facilities, including hospitals, nursing homes, rehabilitation centers and animal hospitals.
						35102030	Managed Health Care	Owners and operators of Health Maintenance Organizations (HMOs) and other managed plans.
				351030	Health Care Technology	35103010	Health Care Technology	Companies providing information technology services primarily to health care providers. Includes companies providing application, systems and/or data processing software, internet-based tools, and IT consulting services to doctors, hospitals or businesses operating primarily in the Health Care Sector
		3520	Pharmaceuticals, Biotechnology & Life Sciences	352010	Biotechnology	35201010	Biotechnology	Companies primarily engaged in the research, development, manufacturing and/or marketing of products based on genetic analysis and genetic engineering. Includes companies specializing in protein-based therapeutics to treat human diseases. Excludes companies manufacturing products using biotechnology but without a health care application.
				352020	Pharmaceuticals	35202010	Pharmaceuticals	Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs.
				352030	Life Sciences Tools & Services	35203010	Life Sciences Tools & Services	Companies enabling the drug discovery, development and production continuum by providing analytical tools, instruments, consumables & supplies, clinical trial services and contract research services. Includes firms primarily servicing the pharmaceutical and biotechnology industries.
40	Financials	4010	Banks	401010	Banks	40101010	Diversified Banks	Large, geographically diverse banks with a national footprint whose revenues are derived primarily from conventional banking operations, have significant business activity in retail banking and small and medium corporate lending, and provide a diverse range of financial services. Excludes banks classified in the Regional Banks and Thrifts & Mortgage Finance Sub-Industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry.
						40101015	Regional Banks	Commercial banks whose businesses are derived primarily from conventional banking operations and have significant business activity in retail banking and small and medium corporate lending. Regional banks tend to operate in limited geographic regions. Excludes companies classified in the Diversified Banks and Thrifts & Mortgage Banks sub-industries. Also excludes investment banks classified in the Investment Banking & Brokerage Sub-Industry.
				401020	Thrifts & Mortgage Finance	40102010	Thrifts & Mortgage Finance	Financial institutions providing mortgage and mortgage related services. These include financial institutions whose assets are primarily mortgage related, savings & loans, mortgage lending institutions, building societies and companies providing insurance to mortgage banks.
		4020	Diversified Financials	402010	Diversified Financial Services	40201010	Consumer Finance -- Discontinued effective 04/30/2003.	Providers of consumer finance services, including personal credit, credit cards, lease financing, mortgage lenders, travel-related money services and pawn shops.
						40201020	Other Diversified Financial Services	Providers of a diverse range of financial services and/or with some interest in a wide range of financial services including banking, insurance and capital markets, but with no dominant business line. Excludes companies classified in the Regional Banks and Diversified Banks Sub-Industries.
						40201030	Multi-Sector Holdings	A company with significantly diversified holdings across three or more sectors, none of which contributes a majority of profit and/or sales. Stakes held are predominantly of a non-controlling nature. Includes diversified financial companies where stakes held are of a controlling nature. Excludes other diversified companies classified in the Industrials Conglomerates Sub-Industry.
						40201040	Specialized Finance	Providers of specialized financial services. Includes credit agencies, stock exchanges and specialty boutiques. Companies in this Sub-Industry derive a majority of revenue from one, specialized line of business.
				402020	Consumer Finance	40202010	Consumer Finance	Providers of consumer finance services, including personal credit, credit cards, lease financing, travel-related money services and pawn shops. Excludes mortgage lenders classified in the Thrifts & Mortgage Finance Sub-Industry.
				402030	Capital Markets	40203010	Asset Management & Custody Banks	Financial institutions primarily engaged in investment management and/or related custody and securities fee-based services. Includes companies operating mutual funds, closed-end funds and unit investment trusts. Excludes banks and other financial institutions primarily involved in commercial lending, investment banking, brokerage and other specialized financial activities.
						40203020	Investment Banking & Brokerage	Financial institutions primarily engaged in investment banking & brokerage services, including equity and debt underwriting, mergers and acquisitions, securities lending and advisory services. Excludes banks and other financial institutions primarily involved in commercial lending, asset management and specialized financial activities.
						40203030	Diversified Capital Markets	Financial institutions primarily engaged in diversified capital markets activities, including a significant presence in at least two of the following area: large/major corporate lending, investment banking, brokerage and asset management. Excludes less diversified companies classified in the Asset Management & Custody Banks or Investment Banking & Brokerage sub-industries. Also excludes companies classified in the Banks or Insurance industry groups or the Consumer Finance Sub-Industry.
		4030	Insurance	403010	Insurance	40301010	Insurance Brokers	Insurance and reinsurance brokerage firms.
						40301020	Life & Health Insurance	Companies providing primarily life, disability, indemnity or supplemental health insurance. Excludes managed care companies classified in the Managed Health Care Sub-Industry.
						40301030	Multi-line Insurance	Insurance companies with diversified interests in life, health and property and casualty insurance.
						40301040	Property & Casualty Insurance	Companies providing primarily property and casualty insurance.
						40301050	Reinsurance	Companies providing primarily reinsurance.
		4040	Real Estate	404010	Real Estate -- Discontinued effective 04/28/2006	40401010	Real Estate Investment Trusts -- Discontinued effective 04/28/2006.	Real estate investment trusts (REITs). Includes Property Trusts.
						40401020	Real Estate Management & Development -- Discontinued effective 04/28/2006	Companies engaged in real estate ownership, development or management.
				404020	Real Estate Investment Trusts (REITs)	40402010	Diversified REITs	A company or Trust with significantly diversified operations across two or more property types.
						40402020	Industrial REITs	Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of industrial properties. Includes companies operating industrial warehouses and distribution properties.
						40402030	Mortgage REITs	Companies or Trusts that service, originate, purchase and/or securitize residential and/or commercial mortgage loans. Includes trusts that invest in mortgage-backed securities and other mortgage related assets.
						40402035	Hotel & Resort REITs	Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of hotel and resort properties.
						40402040	Office REITs	Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of office properties.
						40402045	Health Care REITs	Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of properties serving the health care industry, including hospitals, nursing homes, and assisted living properties.
						40402050	Residential REITs	Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of residential properties including multifamily homes, apartments, manufactured homes and student housing properties
						40402060	Retail REITs	Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of shopping malls, outlet malls, neighborhood and community shopping centers.
						40402070	Specialized REITs	Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of properties not classified elsewhere. Includes trusts that operate and invest in storage properties. It also includes REITs that do not generate a majority of their revenues and income from real estate rental and leasing operations.
				404030	Real Estate Management & Development	40403010	Diversified Real Estate Activities	Companies engaged in a diverse spectrum of real estate activities including real estate development & sales, real estate management, or real estate services, but with no dominant business line.
						40403020	Real Estate Operating Companies	Companies engaged in operating real estate properties for the purpose of leasing & management.
						40403030	Real Estate Development	Companies that develop real estate and sell the properties after development. Excludes companies classified in the Homebuilding Sub-Industry.
						40403040	Real Estate Services	Real estate service providers such as real estate agents, brokers & real estate appraisers.
45	Information Technology	4510	Software & Services	451010	Internet Software & Services	45101010	Internet Software & Services	Companies developing and marketing internet software and/or providing internet services including online databases and interactive services, as well as companies deriving a majority of their revenues from online advertising. Excludes companies classified in the Internet Retail Sub-Industry.
				451020	IT Services	45102010	IT Consulting & Other Services	Providers of information technology and systems integration services not classified in the Data Processing & Outsourced Services or Internet Software & Services Sub-Industries. Includes information technology consulting and information management services.
						45102020	Data Processing & Outsourced Services	Providers of commercial electronic data processing and/or business process outsourcing services. Includes companies that provide services for back-office automation.
				451030	Software	45103010	Application Software	Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software. Excludes companies classified in the Home Entertainment Software Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry.
						45103020	Systems Software	Companies engaged in developing and producing systems and database management software.
						45103030	Home Entertainment Software	Manufacturers of home entertainment software and educational software used primarily in the home.
		4520	Technology Hardware & Equipment	452010	Communications Equipment	45201020	Communications Equipment	Manufacturers of communication equipment and products, including LANs, WANs, routers, telephones, switchboards and exchanges. Excludes cellular phone manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry.
						45201010	Networking Equipment -- Discontinued effective 04/30/2003.	Manufacturers of computer networking equipment and products, including LANs, WANs and routers.
				452020	Technology Hardware, Storage & Peripherals	45202010	Computer Hardware - Discontinued effective 02/28/2014.	Manufacturers of personal computers, servers, mainframes and workstations. Includes manufacturers of Automatic Teller Machines (ATMs). Excludes manufacturers of copiers, faxes and related products classified in the Office Electronics Sub-Industry.
						45202020	Computer Storage & Peripherals - Discontinued effective 02/28/2014.	Manufacturers of electronic computer components and peripherals. Includes data storage components, motherboards, audio and video cards, monitors, keyboards, printers and other peripherals. Excludes semiconductors classified in the Semiconductors Sub-Industry.
						45202030	Technology Hardware, Storage & Peripherals	Manufacturers of cellular phones, personal computers, servers, electronic computer components and peripherals. Includes data storage components, motherboards, audio and video cards, monitors, keyboards, printers, and other peripherals. Excludes semiconductors classified in the Semiconductors Sub-Industry.
				452030	Electronic Equipment, Instruments & Components	45203010	Electronic Equipment & Instruments	Manufacturers of electronic equipment and instruments including analytical, electronic test and measurement instruments, scanner/barcode products, lasers, display screens, point-of-sales machines, and security system equipment.
						45203015	Electronic Components	Manufacturers of electronic components. Includes electronic components, connection devices, electron tubes, electronic capacitors and resistors, electronic coil, printed circuit board, transformer and other inductors, signal processing technology/components.
						45203020	Electronic Manufacturing Services	Producers of electronic equipment mainly for the OEM (Original Equipment Manufacturers) markets.
						45203030	Technology Distributors	Distributors of technology hardware and equipment. Includes distributors of communications equipment, computers & peripherals, semiconductors, and electronic equipment and components.
				452040	Office Electronics - Discontinued effective 02/28/2014	45204010	Office Electronics - Discontinued effective 02/28/2014.	Manufacturers of office electronic equipment including copiers and faxes.
				452050	Semiconductor Equipment & Products -- Discontinued effective 04/30/2003.	45205010	Semiconductor Equipment -- Discontinued effective 04/30/2003.	Manufacturers of semiconductor equipment.
						45205020	Semiconductors -- Discontinued effective 04/30/2003.	Manufacturers of semiconductors and related products.
		4530	Semiconductors & Semiconductor Equipment	453010	Semiconductors & Semiconductor Equipment	45301010	Semiconductor Equipment	Manufacturers of semiconductor equipment, including manufacturers of the raw material and equipment used in the solar power industry.
						45301020	Semiconductors	Manufacturers of semiconductors and related products, including manufacturers of solar modules and cells.
50	Telecommunication Services	5010	Telecommunication Services	501010	Diversified Telecommunication Services	50101010	Alternative Carriers	Providers of communications and high-density data transmission services primarily through a high bandwidth/fiber-optic cable network.
						50101020	Integrated Telecommunication Services	Operators of primarily fixed-line telecommunications networks and companies providing both wireless and fixed-line telecommunications services not classified elsewhere.
				501020	Wireless Telecommunication Services	50102010	Wireless Telecommunication Services	Providers of primarily cellular or wireless telecommunication services, including paging services.
55	Utilities	5510	Utilities	551010	Electric Utilities	55101010	Electric Utilities	Companies that produce or distribute electricity. Includes both nuclear and non-nuclear facilities.
				551020	Gas Utilities	55102010	Gas Utilities	Companies whose main charter is to distribute and transmit natural and manufactured gas. Excludes companies primarily involved in gas exploration or production classified in the Oil & Gas Exploration & Production Sub-Industry. Also excludes diversified midstream natural gas companies classified in the Oil & Gas Storage & Transportation Sub-Industry.
				551030	Multi-Utilities	55103010	Multi-Utilities	Utility companies with significantly diversified activities in addition to core Electric Utility, Gas Utility and/or Water Utility operations.
				551040	Water Utilities	55104010	Water Utilities	Companies that purchase and redistribute water to the end-consumer. Includes large-scale water treatment systems.
				551050	Independent Power and Renewable Electricity Producers	55105010	Independent Power Producers & Energy Traders	Companies that operate as Independent Power Producers (IPPs), Gas & Power Marketing & Trading Specialists and/or Integrated Energy Merchants. Excludes producers of electricity using renewable sources, such as solar power, hydropower, and wind power. Also excludes electric transmission companies and utility distribution companies classified in the Electric Utilities Sub-Industry.
						55105020	Renewable Electricity	Companies that engage in the generation and distribution of electricity using renewable sources, including, but not limited to, companies that produce electricity using biomass, geothermal energy, solar energy, hydropower, and wind power. Excludes companies manufacturing capital equipment used to generate electricity using renewable sources, such as manufacturers of solar power systems, installers of photovoltaic cells, and companies involved in the provision of technology, components, and services mainly to this market.
